id,login,password_hash,first_name,last_name,email,image_url,activated,lang_key,created_by_id,last_modified_by_id
1,system,$2a$10$mE.qmcV0mFU5NcKh73TZx.z4ueI/.bDWbj0T1BYyqP481kGGarKLG,1,1,system@localhost,,true,en,1,1
2,anonymoususer,$2a$10$j8S5d7Sr7.8VTOYNviDPOeWX8KcYILUVJBsYV83Y5NtECayypx9lO,Anonymous,User,anonymous@localhost,,true,en,1,1
3,admin,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Administrator,Administrator,admin@localhost,,true,en,1,1
4,user,$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K,User,User,user@localhost,,true,en,1,1
5,g1user1,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,g1user1,g1user1,g1user1@localhost,,true,en,1,1
6,g1user2,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,g1user2,g1user2,g1user2@localhost,,true,en,1,1
7,group1,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,group1,group1,group1@localhost,,true,en,1,1
8,g2user1,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,g2user1,g2user1,g2user1@localhost,,true,en,1,1
9,g2user2,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,g2user2,g2user2,g2user2@localhost,,true,en,1,1
10,group2,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,group2,group2,group2@localhost,,true,en,1,1
11,backoffice,$2a$10$OVndPiuaT1nOyni7d8paSOSuHIgZCBf3DySFIJ0qfGizGp5w9UmMC,Back,Office,test+backoffice@metix.com.tr,,true,en,1,1
12,satis1,$2a$10$11EFhGE7.M9OdWjam1KaxOvV3YTn3P8qEvLDf0biwNczp4mMxtTAm,Satis,1,test+satis1@metix.com.tr,,true,en,1,1
13,satis2,$2a$10$PWjDppAGxSQWJdHCuoWI3eEt04h5PwPNC7Ao70pOabSm6AFDiWVVm,Satis,2,test+satis2@metix.com.tr,,true,en,1,1
14,satis3,$2a$10$OOmXVc8xZ0Jwj4OWhg9ieuulwIyIudgSxwkG/zU.xTuGdPKsVqovy,Satis,3,test+satis3@metix.com.tr,,true,en,1,1
15,yonetici,$2a$10$M2OJ2ekGeXMIKrl3oL16sO8v6dSsZy3p11zuyp5Kd95MEEgbhySga,Yonetici,Yonetici,test+yonetici@metix.com.tr,,true,en,1,1
